Platform,PWM Type,Decoder Type,Filter Type,PWM Location,Encoder Location,Image Processing Location,Control Loop Location,Feasibility Score
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,FPGA,CPU,CPU,142.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,FPGA,CPU,FPGA,137.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,CPU,136.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,FPGA,131.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,CPU,CPU,CPU,142.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,CPU,CPU,FPGA,137.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,CPU,136.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,FPGA,131.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,CPU,155.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,FPGA,150.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,CPU,149.0
DE10-Avalon,Center PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,FPGA,144.0
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,CPU,CPU,CPU,138.0
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,CPU,CPU,FPGA,133.0
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,CPU,FPGA,CPU,132.0
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,CPU,FPGA,FPGA,127.0
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,FPGA,CPU,CPU,151.0
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,FPGA,CPU,FPGA,146.0
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,CPU,145.0
RPi-SPI,Edge PWM,Edge Decoder,HSV,CPU,FPGA,FPGA,FPGA,140.0
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,CPU,CPU,CPU,151.0
RPi-SPI,Edge PWM,Edge Decoder,HSV,FPGA,CPU,CPU,FPGA,146.0
