Platform,PWM Type,Decoder Type,Filter Type,PWM Location,Encoder Location,Image Processing Location,Control Loop Location,Total Risk
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,CPU,CPU,CPU,28.61111111111111
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,CPU,CPU,FPGA,23.38235294117647
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,CPU,FPGA,CPU,26.292270531400966
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,CPU,FPGA,FPGA,21.063512361466323
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,FPGA,CPU,CPU,30.326797385620914
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,FPGA,CPU,FPGA,25.098039215686274
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,FPGA,FPGA,CPU,28.00795680591077
RPi-SPI,Edge PWM,Edge Decoder,YUV,FPGA,FPGA,FPGA,FPGA,22.77919863597613
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,CPU,CPU,CPU,26.4520202020202
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,CPU,CPU,FPGA,21.22326203208556
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,CPU,FPGA,CPU,24.36868686868687
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,CPU,FPGA,FPGA,19.13992869875223
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,FPGA,CPU,CPU,28.57323232323232
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,FPGA,CPU,FPGA,23.344474153297682
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,FPGA,FPGA,CPU,26.48989898989899
RPi-SPI,Edge PWM,LUT Decoder,HSV,CPU,FPGA,FPGA,FPGA,21.26114081996435
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,CPU,CPU,CPU,28.57323232323232
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,CPU,CPU,FPGA,23.344474153297682
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,CPU,FPGA,CPU,26.48989898989899
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,CPU,FPGA,FPGA,21.26114081996435
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,FPGA,CPU,CPU,30.694444444444446
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,FPGA,CPU,FPGA,25.465686274509807
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,FPGA,FPGA,CPU,28.61111111111111
RPi-SPI,Edge PWM,LUT Decoder,HSV,FPGA,FPGA,FPGA,FPGA,23.38235294117647
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,CPU,CPU,CPU,26.86868686868687
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,CPU,CPU,FPGA,21.63992869875223
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,CPU,FPGA,CPU,24.549846288976724
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,CPU,FPGA,FPGA,19.321088119042084
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,FPGA,CPU,CPU,28.98989898989899
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,FPGA,CPU,FPGA,23.76114081996435
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,CPU,26.671058410188845
RPi-SPI,Edge PWM,LUT Decoder,YUV,CPU,FPGA,FPGA,FPGA,21.442300240254205
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,CPU,CPU,CPU,28.98989898989899
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,CPU,CPU,FPGA,23.76114081996435
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,CPU,26.671058410188845
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,CPU,FPGA,FPGA,21.442300240254205
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,CPU,31.11111111111111
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,CPU,FPGA,25.88235294117647
RPi-SPI,Edge PWM,LUT Decoder,YUV,FPGA,FPGA,FPGA,CPU,28.792270531400966
