index,start_ms,end_ms,duration_ms
309,7553502.906,7553512.749,9.843
310,7553512.749,7553522.638,9.889
311,7553522.639,7553532.568,9.930
312,7553532.569,7553542.444,9.875
313,7553542.444,7553552.294,9.850
314,7553552.294,7553562.188,9.894
315,7553562.188,7553572.107,9.919
316,7553572.107,7553581.967,9.860
317,7553581.967,7553591.831,9.864
318,7553591.832,7553601.730,9.899
319,7553601.731,7553611.642,9.911
320,7553611.643,7553621.524,9.881
321,7553621.524,7553631.364,9.840
322,7553631.364,7553641.249,9.884
323,7553641.249,7553651.150,9.901
324,7553651.151,7553661.032,9.881
325,7553661.032,7553670.881,9.849
326,7553670.882,7553680.771,9.889
327,7553680.771,7553690.668,9.896
328,7553690.668,7553700.546,9.878
329,7553700.546,7553710.392,9.846
330,7553710.393,7553720.268,9.876
331,7553720.269,7553730.162,9.893
332,7553730.162,7553740.085,9.923
333,7553740.085,7553749.906,9.821
334,7553749.906,7553759.760,9.854
335,7553759.761,7553769.649,9.888
336,7553769.649,7553779.635,9.986
337,7553779.635,7553789.468,9.833
338,7553789.469,7553799.354,9.885
339,7553799.354,7553809.253,9.898
340,7553809.253,7553819.133,9.880
341,7553819.133,7553828.978,9.844
342,7553828.978,7553838.887,9.909
343,7553838.887,7553848.839,9.952
344,7553848.839,7553858.715,9.876
345,7553858.715,7553868.562,9.847
346,7553868.562,7553878.422,9.860
347,7553878.423,7553888.304,9.881
348,7553888.304,7553898.207,9.902
349,7553898.207,7553908.103,9.896
350,7553908.104,7553917.944,9.840
351,7553917.944,7553927.857,9.913
352,7553927.857,7553937.740,9.882
353,7553937.740,7553947.584,9.843
354,7553947.584,7553957.449,9.865
355,7553957.450,7553967.344,9.895
356,7553967.345,7553977.243,9.898
357,7553977.243,7553987.089,9.846
358,7553987.089,7553996.944,9.855
359,7553996.945,7554006.868,9.924
360,7554006.869,7554016.756,9.888
361,7554016.757,7554026.601,9.845
362,7554026.602,7554036.455,9.854
363,7554036.456,7554046.350,9.893
364,7554046.350,7554056.236,9.886
365,7554056.237,7554066.090,9.854
366,7554066.090,7554075.930,9.840
367,7554075.931,7554085.834,9.904
368,7554085.835,7554095.730,9.895
369,7554095.730,7554105.577,9.847
370,7554105.577,7554115.430,9.853
371,7554115.431,7554125.317,9.886
372,7554125.317,7554135.212,9.895
373,7554135.212,7554145.077,9.864
374,7554145.077,7554154.950,9.873
375,7554154.950,7554164.835,9.885
376,7554164.835,7554174.735,9.900
377,7554174.735,7554184.583,9.848
378,7554184.583,7554194.444,9.861
379,7554194.445,7554204.324,9.879
380,7554204.324,7554214.220,9.896
381,7554214.220,7554224.136,9.916
382,7554224.136,7554233.989,9.853
383,7554233.990,7554243.886,9.896
384,7554243.887,7554253.778,9.891
385,7554253.779,7554263.655,9.876
386,7554263.655,7554273.500,9.845
387,7554273.501,7554283.390,9.889
388,7554283.391,7554293.363,9.973
389,7554293.364,7554303.255,9.892
390,7554303.288,7554313.142,9.854
391,7554313.143,7554323.030,9.887
392,7554323.031,7554332.975,9.944
393,7554332.975,7554342.861,9.886
394,7554342.861,7554352.706,9.845
395,7554352.706,7554362.595,9.889
396,7554362.596,7554372.496,9.900
397,7554372.496,7554382.391,9.895
398,7554382.391,7554392.241,9.850
399,7554392.242,7554402.130,9.889
400,7554402.131,7554412.080,9.949
401,7554412.080,7554421.955,9.874
402,7554421.955,7554431.820,9.865
403,7554431.820,7554441.693,9.872
404,7554441.693,7554451.597,9.904
405,7554451.598,7554461.478,9.880
406,7554461.478,7554471.325,9.847
407,7554471.326,7554481.191,9.866
408,7554481.192,7554491.105,9.913
409,7554491.106,7554500.992,9.886
410,7554500.992,7554510.859,9.867
411,7554510.860,7554520.713,9.854
412,7554520.714,7554530.623,9.909
413,7554530.625,7554540.585,9.960
414,7554540.585,7554550.441,9.856
415,7554550.442,7554560.301,9.859
416,7554560.301,7554570.194,9.892
417,7554570.194,7554580.102,9.907
418,7554580.102,7554589.943,9.842
419,7554589.943,7554599.790,9.846
420,7554599.790,7554609.688,9.898
421,7554609.689,7554619.586,9.897
422,7554619.586,7554629.440,9.854
423,7554629.440,7554639.293,9.854
424,7554639.294,7554649.205,9.911
425,7554649.206,7554659.211,10.005
426,7554659.211,7554669.074,9.863
427,7554669.074,7554678.934,9.860
428,7554678.935,7554688.868,9.933
429,7554688.869,7554698.854,9.986
430,7554698.855,7554708.719,9.864
431,7554708.720,7554718.578,9.859
432,7554718.579,7554728.459,9.880
433,7554728.459,7554738.361,9.901
434,7554738.361,7554748.238,9.877
435,7554748.239,7554758.105,9.867
436,7554758.106,7554768.033,9.927
437,7554768.035,7554777.999,9.964
438,7554777.999,7554787.887,9.888
439,7554787.887,7554797.750,9.863
440,7554797.751,7554807.635,9.885
441,7554807.636,7554817.557,9.921
442,7554817.558,7554827.438,9.881
443,7554827.438,7554837.302,9.864
444,7554837.303,7554847.188,9.885
445,7554847.188,7554857.113,9.925
446,7554857.114,7554866.990,9.876
447,7554866.991,7554876.911,9.920
448,7554876.912,7554886.829,9.917
449,7554886.830,7554896.739,9.909
450,7554896.739,7554906.641,9.902
451,7554906.642,7554916.513,9.871
452,7554916.514,7554926.395,9.881
453,7554926.395,7554936.297,9.902
454,7554936.298,7554946.181,9.883
455,7554946.181,7554956.029,9.848
456,7554956.029,7554965.922,9.893
457,7554965.922,7554975.842,9.920
458,7554975.843,7554985.722,9.880
459,7554985.723,7554995.571,9.848
460,7554995.571,7555005.454,9.883
461,7555005.455,7555015.354,9.899
462,7555015.354,7555025.232,9.878
463,7555025.232,7555035.094,9.862
464,7555035.094,7555044.974,9.880
465,7555044.975,7555054.894,9.919
466,7555054.894,7555064.770,9.876
467,7555064.771,7555074.618,9.847
468,7555074.619,7555084.496,9.877
469,7555084.496,7555094.395,9.898
470,7555094.395,7555104.276,9.881
471,7555104.276,7555114.124,9.848
472,7555114.124,7555124.014,9.890
473,7555124.015,7555133.966,9.951
474,7555133.966,7555143.849,9.883
475,7555143.849,7555153.700,9.851
476,7555153.700,7555163.591,9.891
477,7555163.592,7555173.537,9.946
478,7555173.538,7555183.409,9.872
479,7555183.409,7555193.264,9.855
480,7555193.264,7555203.149,9.885
481,7555203.150,7555213.082,9.933
482,7555213.083,7555222.971,9.888
483,7555222.971,7555232.844,9.873
484,7555232.844,7555242.737,9.892
485,7555242.737,7555252.641,9.904
486,7555252.642,7555262.527,9.886
487,7555262.528,7555272.372,9.845
488,7555272.372,7555282.255,9.883
489,7555282.256,7555292.181,9.925
490,7555292.182,7555302.084,9.902
491,7555302.084,7555311.935,9.851
492,7555311.935,7555321.799,9.864
493,7555321.800,7555331.706,9.906
494,7555331.707,7555341.591,9.884
495,7555341.591,7555351.437,9.846
