index,start_ms,end_ms,duration_ms
382,7548087.662,7548127.696,40.034
383,7548127.697,7548167.680,39.983
384,7548167.680,7548207.924,40.244
385,7548207.925,7548247.693,39.768
386,7548247.693,7548287.674,39.981
387,7548287.675,7548327.702,40.027
388,7548327.703,7548367.710,40.008
389,7548367.711,7548407.987,40.276
390,7548407.987,7548447.698,39.710
391,7548447.698,7548487.726,40.027
392,7548487.726,7548527.759,40.033
393,7548527.760,7548567.749,39.990
394,7548567.750,7548607.782,40.032
395,7548607.782,7548648.709,40.927
396,7548648.710,7548687.808,39.098
397,7548687.808,7548727.779,39.971
398,7548727.779,7548767.914,40.134
399,7548767.914,7548807.773,39.859
400,7548807.773,7548847.803,40.030
401,7548847.804,7548887.804,40.000
402,7548887.804,7548927.809,40.005
403,7548927.809,7548967.913,40.104
404,7548967.914,7549007.816,39.902
405,7549007.816,7549047.808,39.991
406,7549047.808,7549087.805,39.997
407,7549087.805,7549127.930,40.125
408,7549127.931,7549167.814,39.884
409,7549167.814,7549207.917,40.102
410,7549207.917,7549247.870,39.953
411,7549247.870,7549287.917,40.047
412,7549287.918,7549329.537,41.620
413,7549329.538,7549367.966,38.429
414,7549367.967,7549407.947,39.981
415,7549407.948,7549447.965,40.017
416,7549447.965,7549487.891,39.926
417,7549487.892,7549529.624,41.732
418,7549529.624,7549567.923,38.298
419,7549567.923,7549607.999,40.076
420,7549607.999,7549647.992,39.993
421,7549647.992,7549687.892,39.900
422,7549687.893,7549727.901,40.008
423,7549727.902,7549767.925,40.023
424,7549767.925,7549807.998,40.073
425,7549807.999,7549847.808,39.809
426,7549847.808,7549884.106,36.298
427,7549884.106,7549924.102,39.996
428,7549924.103,7549968.035,43.932
429,7549968.035,7550004.041,36.007
430,7550004.042,7550044.099,40.057
431,7550044.099,7550088.076,43.977
432,7550088.077,7550124.032,35.956
433,7550124.033,7550164.045,40.012
434,7550164.045,7550210.329,46.284
435,7550210.330,7550244.040,33.710
436,7550244.040,7550287.975,43.935
437,7550287.975,7550328.084,40.109
438,7550328.084,7550367.990,39.906
439,7550367.991,7550408.055,40.064
440,7550408.056,7550448.119,40.064
441,7550448.119,7550488.156,40.037
442,7550488.157,7550524.101,35.945
443,7550524.102,7550564.173,40.072
444,7550564.174,7550604.237,40.063
445,7550604.237,7550644.192,39.955
446,7550644.192,7550684.240,40.048
447,7550684.240,7550724.234,39.993
448,7550724.234,7550764.490,40.256
449,7550764.491,7550804.250,39.760
450,7550804.251,7550844.189,39.939
451,7550844.190,7550884.092,39.903
452,7550884.093,7550924.127,40.035
453,7550924.128,7550964.249,40.121
454,7550964.250,7551004.224,39.974
455,7551004.224,7551044.440,40.216
456,7551044.440,7551084.623,40.183
457,7551084.624,7551124.255,39.632
458,7551124.256,7551165.454,41.198
459,7551165.455,7551204.342,38.887
460,7551204.342,7551244.394,40.052
461,7551244.395,7551284.288,39.893
462,7551284.288,7551324.266,39.978
463,7551324.267,7551365.543,41.276
464,7551365.543,7551404.250,38.707
465,7551404.251,7551444.302,40.051
466,7551444.302,7551484.246,39.944
467,7551484.247,7551524.271,40.024
468,7551524.271,7551564.218,39.947
469,7551564.218,7551604.293,40.075
470,7551604.294,7551644.297,40.003
471,7551644.297,7551684.284,39.987
472,7551684.285,7551724.589,40.304
473,7551724.589,7551764.401,39.812
474,7551764.402,7551804.294,39.892
475,7551804.295,7551844.428,40.134
476,7551844.428,7551884.324,39.895
477,7551884.324,7551924.337,40.012
478,7551924.337,7551964.349,40.012
479,7551964.349,7552004.371,40.022
480,7552004.372,7552044.392,40.021
481,7552044.392,7552084.591,40.198
482,7552084.591,7552124.382,39.791
483,7552124.383,7552164.581,40.198
484,7552164.582,7552204.444,39.862
485,7552204.445,7552244.380,39.935
486,7552244.380,7552284.497,40.117
487,7552284.498,7552324.391,39.894
488,7552324.391,7552364.525,40.134
489,7552364.525,7552404.584,40.058
490,7552404.584,7552444.594,40.010
491,7552444.595,7552484.751,40.156
492,7552484.751,7552524.470,39.718
493,7552524.470,7552564.508,40.038
494,7552564.508,7552604.535,40.027
495,7552604.535,7552648.549,44.014
496,7552648.550,7552690.265,41.715
497,7552690.265,7552728.514,38.249
498,7552728.514,7552768.481,39.967
499,7552768.481,7552804.519,36.038
500,7552804.520,7552844.524,40.004
501,7552844.524,7552884.734,40.210
502,7552884.766,7552924.433,39.667
503,7552924.433,7552964.462,40.029
504,7552964.463,7553004.436,39.973
505,7553004.437,7553044.460,40.023
506,7553044.460,7553084.487,40.027
507,7553084.487,7553124.481,39.993
508,7553124.481,7553164.435,39.954
509,7553164.436,7553205.068,40.632
510,7553205.068,7553244.476,39.408
511,7553244.477,7553284.472,39.996
512,7553284.473,7553324.623,40.150
513,7553324.624,7553364.484,39.860
514,7553364.484,7553405.156,40.672
515,7553405.156,7553444.475,39.319
516,7553444.475,7553484.553,40.078
517,7553484.554,7553528.560,44.006
518,7553528.560,7553564.594,36.034
519,7553564.594,7553604.634,40.039
520,7553604.634,7553644.608,39.974
521,7553644.609,7553684.524,39.915
522,7553684.525,7553724.617,40.093
523,7553724.618,7553768.514,43.896
524,7553768.515,7553804.558,36.043
525,7553804.558,7553844.669,40.111
526,7553844.670,7553888.580,43.910
527,7553888.580,7553924.624,36.044
528,7553924.625,7553964.628,40.003
529,7553964.628,7554004.594,39.966
530,7554004.594,7554044.629,40.034
